Question,Answer
絶対値を取得する,abs()
全ての要素が真であるか判定する,all()
任意の要素が真であるか判定する,any()
スライスに要素を追加する,append()
スライスの容量を取得する,cap()
チャネルを閉じる,close()
スライスまたは配列の要素をコピーする,copy()
マップから要素を削除する,delete()
オブジェクトの長さ(要素数)を取得する,len()
スライス、マップ、チャネルを初期化する,make()
新しいオブジェクトを生成する,new()
パニックを発生させる,panic()
標準出力に文字列を出力する,print()
標準出力に文字列を出力して改行する,println()
複素数から実部を取得する,real()
複素数から虚部を取得する,imag()
整数値を順番に生成する,iota()
スライスを初期化する,makeSlice()
マップを初期化する,makeMap()
チャネルを初期化する,makeChan()
2つの変数の値を入れ替える,swap()
複素数を生成する,complex()
スライスに要素を追加する,appendSlice()
スライスの要素をコピーする,copySlice()
スライスから要素を削除する,deleteSlice()
スライスの長さ(要素数)を取得する,lenSlice()
配列からスライスを作成する,makeSliceFromArray()
スライスからスライスを作成する,makeSliceFromSlice()
新しいスライスを作成する,newSlice()
スライスの容量を取得する,capSlice()
配列に要素を追加する,appendArray()
配列の要素をコピーする,copyArray()
配列から要素を削除する,deleteArray()
配列の長さ(要素数)を取得する,lenArray()
新しい配列を作成する,makeArray()
新しい配列を作成して初期化する,newArray()
配列の容量を取得する,capArray()
マップに要素を追加する,appendMap()
マップから要素を削除する,deleteMap()
マップの要素数を取得する,lenMap()
スライスからマップを作成する,makeMapFromSlice()
配列からマップを作成する,makeMapFromArray()
新しいマップを作成する,newMap()
マップの容量を取得する,capMap()
チャネルに要素を送信する,appendChan()
チャネルを閉じる,closeChan()
チャネルの容量を取得する,lenChan()
新しいチャネルを作成して初期化する,makeChan()
新しいチャネルを作成して初期化する,newChan()
チャネルの容量を取得する,capChan()
スライスを初期化する,makeUnsafeSlice()
マップを初期化する,makeUnsafeMap()
チャネルを初期化する,makeUnsafeChan()
2つの変数の値を入れ替える,swapUnsafe()
複素数を表すcomplex128型の値を生成する,complex128()
複素数を表すcomplex64型の値を生成する,complex64()
引数のうち最小のものを返す,min()
引数のうち最大のものを返す,max()
スライスを作成し、そのアドレスを返す,makeUnsafeSlice()
マップを作成し、そのアドレスを返す,makeUnsafeMap()
チャネルを作成し、そのアドレスを返す,makeUnsafeChan()
2つの引数の値を交換する,swapUnsafe()
