Question,Answer
fileAを開く,vim fileA
vimを閉じる,:q
fileAという名前をつけて保存する,:w
保存せずに終了する,:q!
カーソルを左に1文字移動する,h
カーソルを下に1行移動する,j
カーソルを上に1行移動する,k
カーソルを右に1文字移動する,l
前方に単語１つ分移動する,w
後方に単語１つ分移動する,b
スペース区切りで前方に単語１つぶん移動する,W
スペース区切りで後方に単語１つぶん移動する,B
行頭に移動する,0
行末に移動する,$
１行目に移動する,gg
最後の行に移動する,G
カーソルから行末まで削除,D
行をデリート,dd
カーソルから行末までコピー,Y
ペースト(貼り付ける),p
カーソル位置の左に文字を入力する(インサートモードに切り替える),i
カーソル位置の右に文字を入力する(インサートモードに切り替える),a
ノーマルモードに切り替える,「Esc」
カーソル位置の文字を削除する,x
行を連結する,J
アンドゥ(元に戻す),u
リドゥ(やり直す),{「Ctrl」r}
"hello world"という文字列を下方向に検索する,/hello world
"Vim"という文字列を上方向に検索する,?Vim
次の検索結果に移動する,n
前の検索結果に移動する,N
チュートリアル,vimtutor
ヘルプ,:help
