Question,Answer
絶対値を取得する関数,abs()
全ての要素が真であるか判定する関数,all()
任意の要素が真であるか判定する関数,any()
非ASCII文字をUnicodeエスケープせずにそのままの形で表現する関数,ascii()
非ASCII文字をUnicodeエスケープした形で表現する関数,repr()
整数を２進数文字列に変換する関数,bin()
整数を8進数文字列に変換する関数,oct()
整数を16進数文字列に変換する関数,hex()
引数が真であれば偽、偽であれば真に変換する関数,bool()
該当の箇所からpython標準のデバッガを呼び出す関数,breakpoint()
バイト列を作成する関数,bytes()
バイト配列を作成する関数,bytearray()
オブジェクトが呼び出し可能かどうかを判定する関数,callable()
Unicodeコードポイントを文字に変換する関数,chr()
文字をUnicodeコードポイントに変換する関数,ord()
クラスメソッドを作成するデコレータ,classmethod()
静的メソッドを作成するデコレータ,staticmethod()
文字列をPythonコードとしてコンパイルする関数,compile()
文字列を整数に変換する関数,int()
文字列を浮動小数点数に変換する関数,float()
複素数を作成する関数,complex()
オブジェクトに属性を設定する関数,setattr()
オブジェクトの属性を取得する関数,getattr()
オブジェクトの属性を削除する関数,delattr()
オブジェクトが指定された属性を持っているかどうかを判定する関数,hasattr()
新しい空の辞書を作成する関数,dict()
オブジェクトの属性やメソッドをリストアップする関数,dir()
2つの数値を商と余りに分解する関数,divmod()
イテラブルなオブジェクトとインデックスを返す関数,enumerate()
文字列をPythonコードとして評価する関数,eval()
文字列をPythonステートメントとして実行する関数,exec()
指定された関数によって評価された結果がTrueの要素だけを取り出す関数,filter()
指定された関数によって変換された結果を要素とする新しいイテレータを作成する関数,map()
指定された書式に基づいて文字列を作成する関数,format()
新しい空の可変集合を作成する関数,set()
新しい空の不変集合を作成する関数,frozenset()
グローバルなシンボルテーブルを取得する関数,globals()
ローカルなシンボルテーブルを取得する関数,locals()
オブジェクトのハッシュ値を取得する関数,hash()
指定されたオブジェクトに関するヘルプページを表示する関数,help()
オブジェクトの一意な識別子を取得する関数,id()
ユーザーからの入力を取得する関数,input()
オブジェクトが指定されたクラスのインスタンスであるかどうかを判定する関数,isinstance()
オブジェクトが指定されたクラスまたはタプルのいずれかに属しているかどうかを判定する関数,issubclass()
イテラブルなオブジェクトから新しいイテレータを作成する関数,iter()
次に呼び出される要素を返すイテレータから次の要素を取得する関数,next()
オブジェクトの長さ（要素数）を取得する関数,len()
指定されたイテラブルなオブジェクトをリストに変換する関数,list()
指定されたイテラブルなオブジェクトから最大の要素を取得する関数,max()
指定されたイテラブルなオブジェクトから最小の要素を取得する関数,min()
バッファオブジェクトを作成する関数,memoryview()
標準の基本クラス,object()
ファイルを開いてファイルオブジェクトを取得する関数,open()
べき乗を計算する関数,pow()
オブジェクトを表示する関数,print()
プロパティオブジェクトを作成する関数,property()
指定された範囲の数値からなるリストを作成する関数,range()
シーケンスを逆順にしたイテレータを作成する関数,reversed()
数値を指定された小数点以下の桁数に丸める関数,round()
スライスオブジェクトを作成する関数,slice()
指定されたイテラブルなオブジェクトをソートした結果を取得する関数,sorted()
オブジェクトを文字列に変換する関数,str()
指定されたイテラブルなオブジェクトの要素を合計する関数,sum()
スーパークラスのメソッドを呼び出すためのプロキシオブジェクトを取得する関数,super()
タプルを作成する関数,tuple()
取得する関数,type()
オブジェクトの属性やメソッドを取得する関数,vars()
複数のイテラブルなオブジェクトから要素を一つずつ取得してタプルにして返す関数,zip()
指定されたモジュールを動的にインポートする関数,__import__()
